ano,sigla_uf,id_municipio,nome,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao
2017,PB,2509305,Mataraca,estadual,medio,todos (1-4),63.3,0.62722802,223.35,221.38,3.1406741,2.0,
2017,PB,2508208,Lagoa de Dentro,estadual,medio,todos (1-4),64.6,0.61908501,241.55,263.48,4.026382,2.5,
2017,PB,2505105,Cuité,publica,medio,todos (1-4),74.0,0.771622,264.11,258.76,4.2728672,3.3,
2017,PB,2500502,Alagoinha,publica,medio,todos (1-4),75.9,0.76863998,257.82,260.19,4.2057819,3.2,
2017,PB,2500205,Aguiar,publica,medio,todos (1-4),87.2,0.87467802,237.0,232.74,3.5022981,3.1,
2017,PB,2503555,Cacimbas,publica,medio,todos (1-4),91.0,0.90861899,229.63,232.69,3.3983281,3.1,
2017,PB,2509339,Matinhas,publica,medio,todos (1-4),78.0,0.80747002,239.94,251.02,3.8172419,3.1,
2017,PB,2514008,São João do Cariri,publica,medio,todos (1-4),88.7,0.89440203,249.85,257.57,4.054482,3.6,
2019,PB,2509404,Mogeiro,publica,medio,todos (1-4),78.5,0.79536802,258.79,260.64,4.2260022,3.4,2.8
2019,PB,2513406,Santa Luzia,estadual,medio,todos (1-4),82.1,0.81251001,257.98,261.39,4.225853,3.4,3.3
2019,PB,2511103,Pedra Lavrada,estadual,medio,todos (1-4),86.3,0.86732203,272.38,269.41,4.5481601,3.9,4.0
2019,PB,2505808,Duas Estradas,estadual,medio,todos (1-4),81.3,0.80295497,247.02,266.69,4.1512618,3.3,
2019,PB,2510006,Nazarezinho,publica,medio,todos (1-4),73.7,0.74199599,270.57,264.73,4.4528279,3.3,3.1
2019,PB,2514602,São José do Bonfim,estadual,medio,todos (1-4),89.4,0.89354801,263.41,261.26,4.3003201,3.8,3.6
2019,PB,2508406,Lastro,publica,medio,todos (1-4),88.0,0.88001299,261.58,258.95,4.2400279,3.7,4.0
2021,PB,2500106,Água Branca,estadual,medio,todos (1-4),100.0,1.0,271.86,272.0,4.579629,4.6,
2021,PB,2511103,Pedra Lavrada,estadual,medio,todos (1-4),100.0,1.0,260.16,268.5,4.362908,4.4,
2021,PB,2511707,Pilõezinhos,estadual,medio,todos (1-4),97.3,0.974214,236.77,239.68,3.60296,3.5,
2021,PB,2513109,Salgado de São Félix,estadual,medio,todos (1-4),96.8,0.968976,244.12,245.83,3.798256,3.7,
2021,PB,2513653,Joca Claudino,estadual,medio,todos (1-4),99.0,0.993585,243.85,260.62,4.015871,4.0,
2021,PB,2513968,São Domingos,publica,medio,todos (1-4),100.0,1.0,256.03,271.03,4.342777,4.3,
2021,PB,2516102,Soledade,publica,medio,todos (1-4),99.1,0.990623,264.1,268.16,4.413155,4.4,
2017,PB,2512747,Riachão,estadual,medio,todos (1-4),89.7,0.89382797,241.69,252.82,3.8689079,3.5,
2017,PB,2501302,Aroeiras,publica,medio,todos (1-4),86.1,0.86246902,224.03,233.16,3.3267119,2.9,
2017,PB,2501104,Areia,publica,medio,todos (1-4),80.1,0.81070501,263.95,256.45,4.2360392,3.4,
2017,PB,2510204,Nova Olinda,estadual,medio,todos (1-4),87.8,0.89376599,250.16,238.77,3.777539,3.4,
2017,PB,2509800,Mulungu,estadual,medio,todos (1-4),84.3,0.85391903,223.6,227.61,3.237299,2.8,
2017,PB,2512606,Quixabá,publica,medio,todos (1-4),85.2,0.85153103,233.41,219.66,3.256218,2.8,
2017,PB,2503605,Caiçara,estadual,medio,todos (1-4),72.6,0.71916997,249.6,239.32,3.7777669,2.7,
2017,PB,2510501,Olivedos,municipal,medio,todos (1-4),81.4,0.83727002,267.27,266.6,4.4344649,3.7,
2017,PB,2507101,Itapororoca,publica,medio,todos (1-4),79.1,0.78857499,230.66,225.33,3.302465,2.6,
2017,PB,2511202,Pedras de Fogo,publica,medio,todos (1-4),77.5,0.77584398,229.55,231.86,3.384639,2.6,
2019,PB,2516805,Triunfo,estadual,medio,todos (1-4),67.8,0.66354102,262.82,273.86,4.4806571,3.0,3.6
2019,PB,2500403,Alagoa Nova,estadual,medio,todos (1-4),75.9,0.77897799,266.13,269.95,4.4686122,3.5,3.0
2019,PB,2503407,Cacimba de Areia,publica,medio,todos (1-4),100.0,1.0,271.48,264.67,4.4647021,4.5,3.8
2019,PB,2508208,Lagoa de Dentro,publica,medio,todos (1-4),58.8,0.55618399,259.07,267.94,4.3393559,2.4,2.8
2019,PB,2511509,Pilar,publica,medio,todos (1-4),73.4,0.720505,247.14,259.42,4.0442548,2.9,3.0
2019,PB,2509404,Mogeiro,estadual,medio,todos (1-4),78.5,0.79536802,258.79,260.64,4.2260022,3.4,2.8
2019,PB,2501534,Baraúna,estadual,medio,todos (1-4),75.9,0.76192898,261.92,262.25,4.2942052,3.3,3.2
2019,PB,2501534,Baraúna,publica,medio,todos (1-4),75.9,0.76192898,261.92,262.25,4.2942052,3.3,3.2
2019,PB,2503506,Cacimba de Dentro,publica,medio,todos (1-4),80.4,0.81890303,268.32,278.61,4.6291518,3.8,3.1
2019,PB,2514503,São José de Piranhas,estadual,medio,todos (1-4),84.0,0.834921,268.58,271.85,4.5316062,3.8,3.5
2019,PB,2509370,Mato Grosso,estadual,medio,todos (1-4),77.8,0.78403002,291.64,292.94,5.171051,4.1,3.2
2019,PB,2512309,Princesa Isabel,federal,medio,todos (1-4),93.8,0.93703598,288.2,279.66,4.923934,4.6,
2019,PB,2502409,Bonito de Santa Fé,estadual,medio,todos (1-4),81.6,0.78437001,255.19,257.89,4.1344218,3.2,2.6
2019,PB,2501302,Aroeiras,estadual,medio,todos (1-4),90.3,0.90908998,244.49,255.94,3.9549489,3.6,3.1
2019,PB,2502102,Boa Ventura,estadual,medio,todos (1-4),85.1,0.85887802,257.26,263.35,4.2452221,3.6,3.2
2021,PB,2504033,Capim,publica,medio,todos (1-4),99.2,0.993585,255.14,265.49,4.247342,4.2,
2017,PB,2503209,Cabedelo,estadual,medio,todos (1-4),64.5,0.65530401,227.58,231.42,3.350384,2.2,
2017,PB,2517209,Vieirópolis,estadual,medio,todos (1-4),89.4,0.89916003,269.14,265.26,4.4406781,4.0,
2017,PB,2504033,Capim,estadual,medio,todos (1-4),86.1,0.862611,232.75,230.02,3.4020381,2.9,
2017,PB,2502904,Brejo dos Santos,publica,medio,todos (1-4),77.5,0.79071802,262.38,259.6,4.261004,3.4,
2017,PB,2509909,Natuba,publica,medio,todos (1-4),87.0,0.87589002,247.08,242.89,3.7959659,3.3,
2017,PB,2500775,Aparecida,estadual,medio,todos (1-4),85.8,0.86022198,261.1,269.19,4.3864388,3.8,
2017,PB,2515302,Sapé,estadual,medio,todos (1-4),76.8,0.80396402,230.69,232.8,3.4147129,2.7,
2017,PB,2509107,Mari,estadual,medio,todos (1-4),75.0,0.76300198,254.05,251.99,4.0299382,3.1,
2019,PB,2502904,Brejo dos Santos,publica,medio,todos (1-4),72.1,0.71922201,251.52,260.92,4.1282358,3.0,3.6
2019,PB,2504900,Cruz do Espírito Santo,estadual,medio,todos (1-4),87.2,0.87611997,228.44,235.19,3.41875,3.0,2.7
2019,PB,2513505,Santana de Mangueira,publica,medio,todos (1-4),87.7,0.89002103,244.55,245.47,3.799046,3.4,4.2
2019,PB,2515609,Serra da Raiz,estadual,medio,todos (1-4),86.0,0.85214901,268.64,272.92,4.548326,3.9,4.3
2019,PB,2515500,Serra Branca,publica,medio,todos (1-4),88.1,0.893049,278.64,280.2,4.7978978,4.3,3.9
2019,PB,2500577,Algodão de Jandaíra,publica,medio,todos (1-4),90.0,0.91137701,252.61,258.64,4.1092639,3.7,3.0
2019,PB,2513208,Santa Cruz,estadual,medio,todos (1-4),58.9,0.57256401,307.57,295.98,5.4403062,3.1,3.6
2019,PB,2510808,Patos,estadual,medio,todos (1-4),87.8,0.90704697,274.85,276.14,4.6838899,4.2,3.6
2021,PB,2503001,Caaporã,publica,medio,todos (1-4),99.4,0.994297,237.77,249.9,3.769998,3.7,
2021,PB,2506905,Itabaiana,estadual,medio,todos (1-4),99.3,0.990489,245.97,252.64,3.926185,3.9,
2021,PB,2512507,Queimadas,publica,medio,todos (1-4),93.2,0.931287,251.53,257.36,4.074934,3.8,
2021,PB,2514552,São José de Princesa,publica,medio,todos (1-4),100.0,1.0,239.33,247.04,3.749094,3.7,
2021,PB,2515005,São Miguel de Taipu,publica,medio,todos (1-4),92.9,0.929068,235.6,257.41,3.851946,3.6,
2017,PB,2504306,Catolé do Rocha,publica,medio,todos (1-4),75.8,0.76698202,248.8,245.1,3.8531981,3.0,
2017,PB,2507705,Juazeirinho,publica,medio,todos (1-4),82.8,0.83326298,255.78,253.86,4.0823698,3.4,
2017,PB,2510204,Nova Olinda,publica,medio,todos (1-4),87.8,0.89376599,250.16,238.77,3.777539,3.4,
2017,PB,2504702,Congo,publica,medio,todos (1-4),84.2,0.850178,272.04,268.98,4.5369468,3.9,
2017,PB,2501153,Areia de Baraúnas,estadual,medio,todos (1-4),96.8,0.966501,240.83,226.41,3.461329,3.3,
2017,PB,2513307,Santa Helena,publica,medio,todos (1-4),83.7,0.85125202,259.61,276.47,4.4746351,3.8,
2017,PB,2502151,Boa Vista,publica,medio,todos (1-4),95.7,0.95312399,237.39,247.6,3.730371,3.6,
2017,PB,2512788,Riacho de Santo Antônio,estadual,medio,todos (1-4),80.0,0.799959,269.7,267.54,4.4826751,3.6,
2019,PB,2501807,Bayeux,publica,medio,todos (1-4),72.6,0.75885201,248.58,252.41,3.959399,3.0,2.9
2019,PB,2510204,Nova Olinda,publica,medio,todos (1-4),92.7,0.932365,281.94,278.92,4.8247948,4.5,3.6
2019,PB,2506509,Gurjão,estadual,medio,todos (1-4),84.5,0.85306799,252.33,253.27,4.0250821,3.4,3.0
2019,PB,2505105,Cuité,estadual,medio,todos (1-4),76.9,0.777255,286.79,286.91,5.0126638,3.9,3.5
