id_mundv,ds_mun,2005,2007,2009,2011,2013,2015,2017,2019,2021,2023
2500403,Alagoa Nova,3.4,4.3,4.0,3.9,5.2,5.0,5.4,5.7,5.1,5.7
2501401,Baía da Traição,2.6,3.1,2.8,4.6,4.3,4.5,3.8,4.1,,
2501500,Bananeiras,3.4,3.7,3.9,4.2,4.5,4.5,3.8,4.9,4.9,4.7
2503100,Cabaceiras,2.6,3.4,4.9,5.4,5.6,6.0,6.4,6.1,6.6,7.7
2504009,Campina Grande,3.3,3.7,4.0,4.4,4.4,4.6,5.1,6.1,5.6,5.7
2504355,Caturité,3.2,3.0,4.1,3.7,3.5,4.1,4.8,4.4,,5.3
2506301,Guarabira,3.0,3.5,3.5,3.8,3.9,4.6,4.4,4.2,4.8,5.1
2506806,Ingá,2.5,3.2,3.1,3.3,3.3,4.1,4.0,3.1,3.9,5.0
2507200,Itatuba,2.4,3.4,2.3,3.7,3.5,4.0,3.9,4.5,4.4,4.5
2507507,João Pessoa,3.3,3.5,3.8,4.1,4.4,4.6,6.6,5.0,5.3,5.0
2508307,Lagoa Seca,2.6,3.7,4.4,4.3,4.6,4.9,4.7,5.3,4.9,5.4
2509404,Mogeiro,3.1,3.4,3.5,3.9,3.5,3.8,4.3,4.7,4.6,4.9
2512507,Queimadas,2.8,3.3,3.3,3.5,2.8,4.8,4.8,5.3,6.1,7.9
2513703,Santa Rita,3.0,3.1,3.6,4.0,4.2,4.0,4.3,4.6,4.6,5.1
2515807,Serra Redonda,2.1,4.2,4.1,3.0,4.0,4.4,3.7,4.2,4.4,4.5
2604007,Carpina,3.3,3.2,3.5,3.7,4.3,4.7,4.7,5.2,5.2,5.7
3143302,Montes Claros,4.8,4.8,6.0,6.0,6.3,6.6,6.7,6.6,6.3,6.5
3550308,São Paulo,4.6,4.6,5.5,5.3,6.6,6.5,7.2,7.4,6.0,6.5
